ensemble,d_parallel_nm,t_parallel_Ha,Delta_Ha,E0_exact_Ha
Equal-area geometric,0.71286,0.5314,0.2158,-0.754
LOI-weighted classical ensemble,0.511526,0.782355,0.154925,-0.94685
